Inp_1,Inp_2,Inp_3,Inp_4,Inp_5,Inp_6,Inp_7,Inp_8,Leb
-0.154071276,10.14927983,0.001381393,2.920277586,-0.016922924,-3.978247849,49.65087187,-0.967182687,-1.201647974
-0.159613031,10.14279358,0.001941513,2.916022261,-0.017384422,-3.976929566,49.14378997,-0.974060186,-1.201647974
-0.161007985,10.13630935,0.002365936,2.912438615,-0.01782397,-3.975750147,48.63703273,-0.980819655,-1.201647974
-0.160213538,10.12982815,0.002638719,2.909583044,-0.018234749,-3.974780211,48.1306004,-0.987432044,-1.201647974
-0.1587606,10.12336057,0.002753138,2.907476337,-0.018423738,-3.976174414,47.62449162,-0.993908146,-1.201647974
-0.157542653,10.11692626,0.002940369,2.903751565,-0.018766196,-3.97559747,47.11870378,-1.000271819,-1.201647974
-0.156872284,10.11054278,0.002795516,2.902974045,-0.019060879,-3.975376835,46.6132336,-1.006543342,-1.201647974
-0.156683047,10.10422059,0.002501566,2.902891699,-0.019302762,-3.975544941,46.10807767,-1.012733134,-1.201647974
-0.156754174,10.09796327,0.002069863,2.903448338,-0.019487983,-3.976125534,45.60323277,-1.018842684,-1.201647974
-0.156876211,10.09176911,0.00151316,2.904581155,-0.019613741,-3.977134578,45.09869472,-1.024868589,-1.201647974
-0.156929146,10.08581031,0.000845012,2.906223824,-0.019678107,-3.978581252,44.59437729,-1.030806584,-1.201647974
-0.156887453,10.08385139,7.92E-05,2.908308907,-0.019679843,-3.98046944,44.08994042,-1.036654032,-1.201647974
-0.156790643,10.08998283,-0.000770668,2.910770188,-0.019618176,-3.982800068,43.58496423,-1.042410723,-1.201647974
-0.156707365,10.1039413,-0.00274939,2.918101788,-0.019492578,-3.985571572,43.07909132,-1.048078304,-1.201647974
-0.15669442,10.12418254,-0.002237687,2.91462483,-0.020441526,-3.979852574,42.57205674,-1.053658935,-1.229114214
-0.156773596,10.14906204,-0.001608421,2.910650041,-0.020700479,-3.97945549,42.06367584,-1.059160676,-1.297779812
-0.157100242,10.17727257,-0.000915847,2.906435075,-0.020978572,-3.978828989,41.55382073,-1.064623206,-1.352712291
-0.158488219,10.20785818,-0.000213747,2.902236529,-0.021265904,-3.97805433,41.04240262,-1.070123766,-1.380178531
-0.161943317,10.24009732,0.000449431,2.898288618,-0.021550792,-3.977216937,40.52936058,-1.075726459,-1.380178531
-0.167207906,10.27346116,0.001033189,2.894784029,-0.021821001,-3.976407598,40.01465315,-1.081442124,-1.380178531
-0.17295275,10.3075731,0.001506321,2.891863259,-0.022064871,-3.97572167,39.49825203,-1.087226965,-1.435111009
-0.177731663,10.34217022,0.00184755,2.889612744,-0.022271636,-3.975256384,38.98013657,-1.093029503,-1.462577249
-0.181278441,10.37709208,0.00204597,2.88807102,-0.022430635,-3.975105926,38.46028496,-1.098841547,-1.462577249
-0.184709712,10.41244296,0.002100737,2.887238501,-0.022800028,-3.97125863,37.93865496,-1.104659029,-1.462577249
-0.188144425,10.44884424,0.002018151,2.887083959,-0.022896661,-3.971204653,37.41516535,-1.110457008,-1.462577249
-0.191013353,10.48705455,0.00180892,2.887554111,-0.02291013,-3.971751862,36.88970815,-1.116202354,-1.462577249
-0.193069328,10.5273641,0.001486498,2.888583833,-0.022831149,-3.972962081,36.36217496,-1.121865016,-1.696040284
-0.194373318,10.56962515,0.000777557,2.894124478,-0.02265161,-3.974881113,35.83247799,-1.127473061,-4.250400549
-0.19658856,10.61313437,6.06E-05,2.897479532,-0.022363394,-3.977533316,35.30059357,-1.133731478,-6.063172351
-0.219691045,10.65533203,-0.000703986,2.901202522,-0.021942453,-3.980878271,34.76662612,-1.142941614,-6.07690547
-0.312403383,10.6923541,-0.001439308,2.905377628,-0.021323938,-3.984750125,34.23088569,-1.156962037,-6.07690547
-0.464971779,10.72054604,-0.004059845,2.918581802,-0.020454562,-3.988998307,33.69389533,-1.175631952,-6.173037308
-0.618291469,10.73768624,-0.003298002,2.918097813,-0.004847089,-4.073017385,33.15621428,-1.197638246,-6.722362097
-0.735860242,10.74577407,-0.002307505,2.917475679,-0.003636175,-4.075321582,32.6182363,-1.221588645,-7.944609751
-0.812661797,10.74823806,-0.001159519,2.916909596,-0.002195727,-4.077931986,32.08018201,-1.246836366,-10.60883497
-0.87030443,10.74728744,9.07E-05,2.916644414,-0.000611728,-4.080398684,31.54213781,-1.274011429,-11.74868391
-0.949801036,10.7442637,0.001424251,2.916981564,0.001062088,-4.082207177,31.00409323,-1.304851188,-11.74868391
-1.089692994,10.73997837,0.002859437,2.91825325,0.002810276,-4.082834595,30.46603505,-1.340153761,-11.74868391
-1.261845236,10.73491767,0.004396354,2.920672787,0.004605679,-4.081930988,29.92799294,-1.379168673,-11.74868391
-1.414751915,10.72937248,0.005997888,2.92433421,0.006395073,-4.079338737,29.39002558,-1.420437387,-11.74868391
-1.522215196,10.72351754,0.007645026,2.929132429,0.008123014,-4.075031487,28.85220011,-1.462508384,-11.74868391
-1.581550526,10.71745672,0.009524643,2.934194788,0.009824229,-4.069402181,28.31457723,-1.504295955,-11.74868391
-1.603230243,10.7112498,0.011452869,2.940157204,0.009830498,-4.047779655,27.77720315,-1.545172809,-11.74868391
-1.602296446,10.70492871,0.013391476,2.947115262,0.01190055,-4.04049311,27.24010806,-1.584894998,-11.74868391
-1.592284843,10.69850738,0.01587663,2.957531184,0.01404795,-4.03291237,26.70330932,-1.62345648,-11.74868391
-1.58215723,10.69199813,0.017569136,2.969058931,0.016206168,-4.024670716,26.16681543,-1.66094825,-11.74868391
-1.575903088,10.68543132,0.019227132,2.98142365,0.018326103,-4.015479994,25.63063014,-1.697462439,-11.74868391
-1.573825892,10.67883031,0.020841674,2.99469548,0.02037523,-4.005139587,25.09475575,-1.733049251,-11.74868391
-1.574385434,10.67220937,0.022412577,3.008901624,0.022335542,-3.993531188,24.5591945,-1.767713778,-11.74868391
-1.57575009,10.66557719,0.024035981,3.023624577,0.024200889,-3.980604321,24.02394872,-1.801432631,-11.74868391
-1.57667269,10.6589391,0.025982442,3.037705419,0.026092257,-3.966938578,23.48902047,-1.834173412,-11.74868391
-1.576706217,10.65229832,0.028102882,3.051850959,0.028332607,-3.954011713,22.9544113,-1.865907637,-11.74868391
-1.575999674,10.64565678,0.030409075,3.066067351,0.030713851,-3.940759453,22.42012231,-1.896615047,-11.74868391
-1.574954187,10.63901565,0.032907797,3.080397992,0.033231321,-3.927086757,21.88615458,-1.926281707,-11.43282216
-1.573939783,10.6323756,0.035597438,3.094937804,0.035873902,-3.912862459,21.35251291,-1.954852881,-11.08949416
-1.571168316,10.6257366,0.038462046,3.109843888,0.038620956,-3.897922854,20.81921506,-1.982124893,-11.02082856
-1.559520932,10.61909858,0.041462109,3.125338009,0.041436998,-3.882084879,20.28628325,-2.007875073,-10.26550698
-1.537480508,10.61246223,0.044535825,3.141727358,0.044276169,-3.865135435,19.75373633,-2.031953751,-8.796063172
-1.507941029,10.60582724,0.04761235,3.159362565,0.047086636,-3.846838841,19.22161841,-2.053942245,-6.969558251
-1.456717515,10.59919234,0.050556955,3.178698711,0.049808537,-3.827033231,18.69001286,-2.073044079,-5.582513161
-1.362492528,10.59255717,0.053239847,3.200025038,0.052330121,-3.805526846,18.15901935,-2.088385458,-4.579995422
-1.217619765,10.58592328,0.051556487,3.247662794,0.05159759,-3.764374181,17.62870687,-2.099501627,-4.071869993
-1.040350191,10.57929251,0.052076733,3.281668271,0.052219866,-3.731395362,17.09909061,-2.106495571,-3.000686656
-0.860215145,10.57266568,0.052618821,3.314875403,0.05279968,-3.698746333,16.57014115,-2.109868447,-2.108033875
-0.700692835,10.56604218,0.053233577,3.347117169,0.053368011,-3.66649544,16.04182956,-2.110046454,-0.116731518
-0.559911703,10.55942141,0.053975109,3.378194296,0.05395516,-3.634730681,15.51414614,-2.107233437,2.918287938
-0.426442507,10.55280289,0.05489216,3.407884029,0.054582803,-3.603552691,14.98714419,-2.101046283,3.838406958
-0.263892018,10.5461868,0.056021648,3.435836492,0.055242237,-3.573123292,14.46091828,-2.090781978,3.838406958
-0.048247669,10.53957466,0.057327907,3.461858662,0.05592111,-3.543677421,13.93548197,-2.0764996,4.566262303
0.175122203,10.53296618,0.058861633,3.485773331,0.056601852,-3.515207765,13.41076277,-2.058946729,5.980773632
0.358934262,10.52636011,0.06068389,3.507619442,0.057357015,-3.487783959,12.88668822,-2.038779479,6.241702907
0.503906233,10.51975651,0.062829463,3.52755355,0.058238905,-3.461435824,12.36322025,-2.016318962,3.577477684
0.629039791,10.51315538,0.065270512,3.545935061,0.059279106,-3.436184672,11.84028419,-1.992162799,-1.915770199
0.710123593,10.5065544,0.06794066,3.563486875,0.060519218,-3.411905265,11.3176759,-1.967865614,-3.028152895
0.664822006,10.4999512,0.070780101,3.581398285,0.062055004,-3.388203092,10.79511676,-1.945393855,-3.907072557
0.440924581,10.49335058,0.073703889,3.601200608,0.064005595,-3.364493922,10.2724928,-1.925294797,-5.074387732
0.13409773,10.4867554,0.076474313,3.624381119,0.066385777,-3.340303294,9.749841706,-1.906990612,-5.307850767
-0.168075852,10.48016425,0.061858201,3.742162228,0.069112085,-3.31515018,9.22727512,-1.889441309,-5.307850767
-0.421835092,10.47357563,0.05992368,3.79704925,0.072046,-3.288542742,8.704950631,-1.871372221,-5.307850767
-0.598211941,10.46698863,0.058285237,3.851238198,0.074998295,-3.259981459,8.183030144,-1.851565495,-5.307850767
